id,rumor,label,evidence_id,evidence,username
AuRED_157,God be great and praise be to God the release of Sheikh Salman Al Awda from the deadly prison of Al Salool may God hasten the release of the captivity of all his brother scholar and oppress oppress people,REFUTES,"['1359595392908861447', '1359595347228700676', '1359595248519946250', '1359583766205915141', '1359507682365956097', '1359164409436909570', '1358983300451360768', '1358981253521952769', '1358896089898897408', '1358877847419555843', '1358811193415262208', '1358779880113111048', '1358687655433822208', '1358687490400477185', '1358671765401202688', '1358670908949463043', '1358512891973038082', '1358509050288369666', '1358508986266451975', '1358508939441274883', '1358508901335990276', '1358309861830889473', '1358102666438705152', '1357996224029347840', '1357996160959545345', '1357995461513269249', '1357842067687411713', '1357841750048595969', '1357563326704844802', '1357486565979803649', '1357430027697213448', '1357418944215277568']",RT salmanal awdaconference RT Alia Al Hathloul do well in remind the rest of the detainee especially islamist like Sheikh Salman Al Awda in order to ignore his attempt to separate prisoner of conscience base on their attitude Prisoner of conscience Prisoner of conscience there be no difference between liberal opinion and an islamic opinion RT after and night can finally see the face of my dear sister Loujain but can not say that she be free also can not forget that Al Awda Al Sadhan Al Rabiah and other be still subject to great injustice Life lesson no right be lose there be demand behind it the day after tomorrow Friday wait for we SalmanReturnConference RT the virtual international conference Contemporary Reformers salmanal Awda as Model with the participation of global elite of academic jurist and politician di February and Conference program and broadcast link dd salmanal Awda Conference RT oh God unite their heart for what be good for their people be enough in Saudi Arabia to make Sheikh Al Awda disappear for more than day behind bar without charge be bring and even from silence Sheikh SalmanAl Awda be not spare RT Sheikh SalmanAl Awda be of the figure of Islam nobleman among the nationas noble and chivalrous man who give what be precious and precious in the service of his religion and nation it be the duty of the people of the nation to stand up for their right to freedom and decent life there be no future for nation whose choice be insult whose free people be restrict and it be stagnant rule salmanal awdaconference RT the beloved of the people the voice of centrism and moderation the king of heart and the ambassador of peace he be eloquent in his tongue eloquent in his statement and the meaning be firmly rooted in knowledge man of nation abundant in knowledge strong in argument he be Dr SalmanAl Awda may Allah hasten his relief free he from his captivity and reward he for his ordeal and the patience of his family and all his lover SalmanAl AwdaAmbassador of Peace RT do not know what the purpose of the false leak about the release of Sheikh SalmanAwda be but say that the regime be capable if it manage to determine its interest from the decision that be suppose to be prelude to the release of the rest and the ongoing attempt to kill the sheikh in prison under global supervision and monitoring as for his release it be natural that it should be consider for she as positive step RT Sheikh SalmanAl Awda be in saudi prison because of tweet click the link to read the detail of his case and the name of the perpetrator who violate his right da RT salmanawdaconference may God relieve his family RT Al Awdaas son deny rumor of his fatheras release the saudi academic in the United States and the son of the detain preacher aSalman Al Awda Abdullah reveal the truth about the news circulate on social medium regard the saudi authoritiesa release of his father be on time the entire conference will be broadcast live on various platform and via the website for the sake of free human being this conference will be SalmanAl awdaconference follow we Contemporary Reformers within the work of the Center for Arab Research and Rights in Washington DC America on Friday and Saturday February and watch RT the story be not over yet sir tomorrow the bird will fly and it will be the beginning we ask God for speedy relief for he salmanal Awda RT there be nothing new about the father SalmanAl Awda and his health condition be still not good accord to his last visit to Al Haair prison and their treatment of he be very poor and he be still in solitary confinement he have secret session in which no independent party be allow to attend on March in shaky judicial situation that be not independent at all ask God to release he and the rest there be nothing new about the father SalmanAl Awda and his health condition be still not good accord to his last visit to Al Haair prison and their treatment of he be very poor and he be still in solitary confinement he have secret session in which no independent party be allow to attend on March in shaky judicial situation that be not independent at all ask Allah to release he and the rest RT Dr Abdullah Al Awda we remain for several month without know anything about my father Salman Al Awda neither his place of detention nor his health condition during the period of his arrest RT although month have pass since the gulfreconciliation some victim of the crisis be still in detention include the islamic preacher SalmanAl Awda who be suffer from deteriorate health in Al HaairPrison in Saudi Arabia in the UAE the authority be still detain the young Omani AbdullahAlshamsi in the notorious alwathbaprison RT the International Conference Contemporary Reformers highlight aSalman Al Awda as contemporary reformist modela RT the aContemporary Reformersa conference dedicate its session to the detain preacher salmanal Awda RT conference to support the steadfastness of aAl Awdaa and call for international intervention to release he the aContemporary Reformersa conference announce that its session be dedicate to the saudi preacher who have be detain for year Salman Al Awda in support of his steadfastness RT Sheikh Salman Al Awda may Allah relieve you of your captivity no matter how long the night of injustice and tyranny last the yoke of the free will not disappear SalmanAl AwdaAmbassador of Peace hta RT dedicate it to the detain Sheikh SalmanAl Awda the Contemporary Reformers conference announce the launch of its edition specify February and as the date for hold its activity that will shed light on contemporary reformer who have be subject to injustice as result of their contribution in the intellectual political and social field RT salmanaloudaambassadorofpeace love you for the sake of God and may God relieve you of your captivity our Sheikh RT arab thinker Muhanna Al Hubailas letter to the Secretary General of the United Nations ask he to press for the release of Sheikh Salman Al Awda RT Mr Secretary General of the United Nations Antonioguterres SheikhAwdaandConscienceofWorldPeace greeting during quarter of century the campaign of Islamic enlightenment struggle to create great human rationalization approach that spread on the arab land and adopt the purpose of Islam not the creation of false religion for the benefit of tyrant or brutal capitalism aRT the noble thinker Professor Muhanna Al Hubail from the Arabian Peninsula send an appeal to the Secretary General of the United Nations ato persuade the saudi authority to release the father SalmanAl Awda immediately so that he can return to his home and resume take his medication after the illness that have befall he while he be prisoner of conscience besiege without his freedom and his childrena its mission be to enlighten RT Dr Abdullah Al Awda during his article in the indonesian newspaper Al Balad say that the authority of Bin Salman be try to slowly kill his father SalmanAl AwdaAmbassadorofPeace RT conference highlight aSalman Al Awdaa as contemporary reform model RT broad response to Dr Abdullah Al Awdaas campaign that come to support Sheikh SalmanAl awdaambassador of Peace RT of the few who present how scientist can be abundant in his knowledge and close to people in his life diarie salmanal AwdaAmbassadorofPeace,"['aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah', 'aalodah']"
AuRED_158,new innovation hide chair and box in carpet Abdul Wahhab Mosque Doha Qatar,REFUTES,['1321027604749713408'],the MinistryofAwqaf in the State of Qatar confirm that the video circulating of the innovation of the hidden prayer chair chair armrest box which be implement by the Ministry in the Imam Muhammad bin Abdul Wahhab Mosque be incorrect and be not true yoursafetyismysafety,['AwqafM']
AuRED_105,Tunisia offer to help Libya treat those injure in the fuel truck explosion in Bint Biyya Libya witness for detail,SUPPORTS,"['1554448728320344064', '1554448815524139013', '1554446617356427266']",extend my thank to his Excellency the President of the Republic of Tunisia Mr Kais Saied for his solidarity and harness all hospital and medical team to help the wound of BintBey this solidarity indicate that what unite the brotherly people be fraternal relation and spirit of solidarity in good time and bad in all case dd dd RT extend my thank to his Excellency the President of the Republic of Tunisia Mr Kais Saied for his solidarity and harness all hospital and medical team to help the wound of BintBey this solidarity indicate that what unite the brotherly people be fraternal relation and spirit of solidarity in good time and bad in all case dd the Ministry of Foreign Affairs and International Cooperation express its deep thank and gratitude for what the sisterly state of Tunisia announce in its recent statement in which it make use of its tunisian hospital and medical staff to help Libyans who be injure in the municipality of BintBey follow the fuel tanker explosion,"['NajlaElmangoush', 'Mofa_Libya', 'Mofa_Libya']"
AuRED_111,the Spanish Casas be the coach of the iraqi national team,SUPPORTS,"['1589959119448182784', '1589296752473280512', '1588890490975686658', '1588890064360443904', '1588861824552046593']",watch the lecture of the technical staff of our national team before face its mexican counterpart tomorrow Wednesday the Iraqi Football Federation officially contract today Sunday with spanish coaching staff to lead the national team in the come period the contract be sign by the president of the federation Adnan Darjal and the spanish coach Casas Watch behind the scene of the spanish coaching staffas tour in the capital Baghdad accompany by the President of the Iraqi Football Association Adnan Darjal Watch the meeting of the President of the Iraqi Football Federation Adnan Darjal with the spanish coaching staff lead by Jesus Casas which be hold today Saturday at the Federationas headquarters in the presence of Federation member Ghanem Oraibi and the Federationas Secretary General Muhammad Farhan co rlZFmNl the spanish coach Jose Casas and his assistant staff have good night and have good rest in Baghdad,"['IRAQFA', 'IRAQFA', 'IRAQFA', 'IRAQFA', 'IRAQFA']"
AuRED_115,citizen assault doctor work in maternity hospital cause he to bleed in various part of his body the Medical Association denounce the attack and will take legal measure against the attacker Kuwait ministryofhealth,SUPPORTS,"['1557788843444768768', '1557751259322585090']",the ministryofhealth denounce the unfortunate attack on doctor in the maternity hospital stress that we be follow up with the competent authority in the country the legal procedure that preserve the doctora right in accordance with what be state in the Professional Practice Law of and to preserve and protect all the right of health personnel in the face of these unacceptable and reprehensible action the Medical Association denounce the incident of assault against doctor in the maternity hospital where the doctor be brutally beat lead to bleed in various place in the body the Legal Committee of the Association contact the doctor and his family to check on he and appoint lawyer to proceed with legal procedure against the attacker,"['KUWAIT_MOH', 'KMA_1963']"
AuRED_118,there be no power nor strength except with God Say aNothing will happen to we except what God have decree for usa it be confirm that Akram Tawfiq suffer cruciate ligament teardC the injury may deprive we of fighter from Mufusa fighter,SUPPORTS,"['1606748388212490242', '1607147604533563398', '1607005112605577221', '1606938423604006913', '1606764600258461696', '1606761259428216832']",ray prove that Akram Tawfiq suffer cruciate ligament tear Islam Al Shater Al ahly player and fan be keen to support Akram Tawfiq before the start of the Smouha match by raise his shirt thebighouse alahlytv do Amira Farraj ray prove that Akram Tawfiq be injure by cruciate ligament tear and the player will fly to Austria in the come day YouTube Al Harifa Alahlytv do Al ahly fan support Akram Tawfiq after his injury YouTube morninginalahly alahlytv do ray prove that Akram Tawfiq suffer cruciate ligament tear and the player will fly to Austria in the come day to undergo surgery dy supportakramtawfiq alahlytv do touching message from Akram Tawfiq after he suffer cruciate ligament tear YouTube Al AhlyRedLine supportakramtawfiq Alahlytv do,"['AlAhly', 'AlAhlyTV', 'AlAhlyTV', 'AlAhlyTV', 'AlAhlyTV', 'AlAhlyTV']"
AuRED_124,Saudi Arabia bear the cost of electronicservice for the Haya visa for the World Cup in Qatar,SUPPORTS,"['1579823980735008772', '1579814147814195200']",cabinet approval for the state to bear the cost of electronic service relate to the electronic visa service platform at the Ministry of Foreign Affairs that be collect in exchange for issue an entry visa to the Kingdom for holder of the fan card Haya for the Qatar World Cup event Cabinet approval for the state to bear the cost of electronic service relate to the electronic visa service platform at the Ministry of Foreign Affairs that be collect in exchange for issue an entry visa to the Kingdom for holder of the fan card Haya for the Qatar World Cup event SPA,"['KSAMOFA', 'spagov']"
AuRED_129,the death of former Al Nasr star yasseral Moussa after suffer from illness may God have mercy on he DeathofAl NasrplayerYasserAl Moussa,SUPPORTS,['1603492708013727750'],the Board of Directors of Al Nasr Club offer condolence on the death of former Al Nasr player Captain Yasser Al Mousa,['AlNassrFC ']
AuRED_004,turkish demonstrator attack the Kuwaiti Turkish Bank in Istanbul after the collapse of the turkish lira as receive,NOT ENOUGH INFO,[],,[]
AuRED_006,qaissaeed afrom now on if cleric interfere in politic will fill the prison with thema long live the belly that carry you man in time of menas decline,NOT ENOUGH INFO,[],,[]
AuRED_009,Erdogan my problem with Sisi be due to misunderstanding and seek to fix it Al Jazeera Channel,NOT ENOUGH INFO,[],,[]
AuRED_015,dThe Guardian warn of the outbreak of deadly virus in China call Nipah,NOT ENOUGH INFO,[],,[]
AuRED_022,proudly make in Egypt dad Rami Al Subaie the Egyptian and the Arab to win Mr Olympia in history congratulation to Egypt and the Arabs BigRami,NOT ENOUGH INFO,[],,[]
AuRED_032,ElBaradei speak again Egypt possession of nuclear weapon at the Dabaa station be clear violation of international standard and must be stop,NOT ENOUGH INFO,[],,[]
AuRED_052,news about the death of saudi judo player Tahani Al Qahtani who be defeat by an israeli player,NOT ENOUGH INFO,[],,[]
AuRED_057,aThe saudi swimmer aAhmed Jibrila rank in the Olympics out of participant dd ita good that he didnat drown too dd NoOhGod,NOT ENOUGH INFO,[],,[]
AuRED_058,Ahmed Moussa Egypt succeed in organize the World Cup and aQatar steal the bubble idea from usa Video,NOT ENOUGH INFO,[],,[]
AuRED_063,pardon terrorist be something God can do but my job be to send they to he Vladimir Putin,NOT ENOUGH INFO,[],,[]
AuRED_074,EgyptProjectsdad medical and food aid from Egypt arrive in the Gaza Strip to protect our palestinian brother from the new Corona virus egyptian medical and nutritional aid for the Gaza Strip to help the Palesenians to combat the noval corona virus,NOT ENOUGH INFO,[],,[]
AuRED_075,an authentic tunisian doctor Ain Dirham year old the doctor in the world to perform heart operation outside the patienta body and it be crown with success we be proud of such people add,NOT ENOUGH INFO,[],,[]
AuRED_078,the World Health Organization call for stop the granting of the dose of Corona vaccine until next September which will allow the dose of the vaccine to be deliver to the group that need it most in the world,NOT ENOUGH INFO,[],,[]
AuRED_091,Tunisia refuse to open border crossing with Libya on August due to Libya enter the stage of the spread of the epidemic,NOT ENOUGH INFO,[],,[]
